channel,video_link,views,likes,dislikes
ThatsHeart,https://www.youtube.com/watch?v=8rpMu2h5XHQ,313883,49206,1310
ThatsHeart,https://www.youtube.com/watch?v=lrRjeup4L_8,1543115,23339,723
ThatsHeart,https://www.youtube.com/watch?v=cvjMJx9K8A8,1391298,58106,1756
ThatsHeart,https://www.youtube.com/watch?v=dsT_-WQapss,7372760,32763,2014
ThatsHeart,https://www.youtube.com/watch?v=6yr5iALbDdw,613754,58926,3027
ThatsHeart,https://www.youtube.com/watch?v=PHxPgQPo5lA,48721646,30420,760
ThatsHeart,https://www.youtube.com/watch?v=rs0vyUaBHlQ,147315,60808,1285
SmartistaBeauty,https://www.youtube.com/watch?v=GXImMOSED4A,204212,31940,518
SmartistaBeauty,https://www.youtube.com/watch?v=8T3foQP9oxQ,371435,16787,393
SmartistaBeauty,https://www.youtube.com/watch?v=AjlOFUvlLH8,162204,27306,250
SmartistaBeauty,https://www.youtube.com/watch?v=RsLzd9clcrc,297213,30491,423
SmartistaBeauty,https://www.youtube.com/watch?v=cFYohrxP8AA,407641,40633,260
SmartistaBeauty,https://www.youtube.com/watch?v=YD9fS9Ta9RI,426265,18426,186
SmartistaBeauty,https://www.youtube.com/watch?v=24VsQcyP8GQ,23730,41201,396
SmartistaBeauty,https://www.youtube.com/watch?v=iTdpZxKSkRE,279871,13020,147
SmartistaBeauty,https://www.youtube.com/watch?v=r1ImILB8CC4,279871,15010,105
SmartistaBeauty,https://www.youtube.com/watch?v=X1Yx3f6XiL4,162583,8271,644
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=hQbeB0YXLhs,651918,183557,3047
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=zWkbS9-RpLw,7292707,50449,1289
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=V0QIz_AWSuw,7292707,69538,3166
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=RqyrXMrWdGs,4457245,25688,848
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=Fgebxq5vZvc,304684,19187,519
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=DkpIbWJ_dl4,304684,19675,483
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=H9lNfrhJBTM,788566,22812,586
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=7jdFB1zWTgQ,7292707,17641,435
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=thsWcl4w7Dg,1063096,26662,241
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=pHReXFeyte4,414796,15110,244
beautycrush,https://www.youtube.com/watch?v=vYDTPe41e_Q,10230151,23330,512
beautycrush,https://www.youtube.com/watch?v=YMkr3fAjAys,1155016,19429,714
beautycrush,https://www.youtube.com/watch?v=dSiJVSsqmiU,931452,32794,590
beautycrush,https://www.youtube.com/watch?v=XZNunI4l-TY,2329655,5774,203
beautycrush,https://www.youtube.com/watch?v=-TdR_tHdLKE,1000425,16636,491
beautycrush,https://www.youtube.com/watch?v=IQ3d23EA-28,730853,24850,764
beautycrush,https://www.youtube.com/watch?v=hu_BiqDQ6zY,437482,11188,348
beautycrush,https://www.youtube.com/watch?v=ufOgR1-qYtA,31514,19861,253
beautycrush,https://www.youtube.com/watch?v=bbCzIPAmUSY,650489,28762,765
beautycrush,https://www.youtube.com/watch?v=kr-YIdqW72I,219996,4415,418
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=kx6nsbyPMj0,9394961,141727,6415
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=AURbiW5qBsk,5838158,137906,2270
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=RJXRKtV_oWI,1777893,70272,4930
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=schCpd3NgVg,1421681,35873,1643
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=gH-VbkXbzVk,3315528,59597,945
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=kVIADlaHUfk,887775,24269,483
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=ABWBwPcj_IY,318892,33936,771
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=a_BOajt0eBc,3469753,45774,471
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=fYCwqCjujD0,226131,28047,359
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=xXr20QF-TUI,689179,32558,592
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=FaySCNI7VNg,801284,410022,13650
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=Lf41bxFfqFc,24806396,129046,4744
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=67Kd3US40ss,801284,52605,1309
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=X7Y0fpGiSvw,1479819,43473,883
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=O5zCWArnwFI,248866,46871,1061
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=630guWD2DE0,57008,100601,1364
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=T2vZcNnLZwo,248866,49707,608
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=U-0PguA143w,369837,49632,1028
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=ghjt3qjJWEY,551658,39147,2978
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=S17WhNWsldQ,801284,34428,501
Cydbeats,https://www.youtube.com/watch?v=Hh_HeFjrH8k,8077710,32102,396
Cydbeats,https://www.youtube.com/watch?v=M3yVyLCgIYc,824797,17881,291
Cydbeats,https://www.youtube.com/watch?v=5Z4gKawhIKQ,757634,48056,188
Cydbeats,https://www.youtube.com/watch?v=zL500jYybAo,960281,26765,203
Cydbeats,https://www.youtube.com/watch?v=D7WDU5ZKUvk,1395558,19654,526
Cydbeats,https://www.youtube.com/watch?v=SIjVDc4-KOA,1352372,23042,235
Cydbeats,https://www.youtube.com/watch?v=0WTjCzYduWY,1686270,13189,307
Cydbeats,https://www.youtube.com/watch?v=zdlODhKE7sE,149731,11496,214
Cydbeats,https://www.youtube.com/watch?v=zZEFG9DZJ9U,2275777,12703,294
Cydbeats,https://www.youtube.com/watch?v=a2y_AFZb20Q,8077710,6942,237
Irishcel507,https://www.youtube.com/watch?v=aO_NkoTLefU,19001098,122574,5300
Irishcel507,https://www.youtube.com/watch?v=3BOeTrN9m_I,2729699,46288,5976
